NETWORK_SPD_LOWER_THAN_2000,NETWORK_SQI_VOICE,SURVEY_CITY_SIZE,PRODUCT_GROUP_TARIFF,NETWORK_4G_SHARE,SNAP_DATE_DAY,PROFILE_DEVICE_OS,FILIAL_ID,NETWORK_VOWIFI,SURVEY_ARPU_GROUP,PRODUCT_TARIFF_CHANGE,NETWORK_DURATION_2G,NPS,SURVEY_AGE_GROUP,NETWORK_VOLTE,PRODUCT_EVA_TYPE,PROFILE_KINOPOISK,SURVEY_GENDER,NETWORK_OVERLOAD,NETWORK_DURATION_4G,SURVEY_OPERATOR_AGE_GROUP,PROFILE_DEVICE_PRICE,NETWORK_SPEED_LTE,NETWORK_SQI_DATA,PRODUCT_NAME_LINE_TP,REGION_FILIAL,PROFILE_DEVICE_TYPE,PRODUCT_PEREPLATY,NETWORK_PROSTOI
Менее 20%,<98%,Средний,СНГ,b. <80%,2024-08-03,Прочее,16.0,Есть,Высокий,Прочее,Прочее,0.1986930571667728,45-54,Более 80%,Ева Volte,Более 1GB,Не определен,Нет,Прочее,18-24,Более 50 тыс. руб,5...10 Mbps,<98%,YOTA_Готовый тариф,Дальневосточный филиал,ROUTER,Более 40 руб,5-24 часа
Прочее,Прочее,Большой,Включайся!,d. >90%,2023-09-10,Android,2.0,Нет,Низкий,Прочее,Менее 5%,0.18067641028313125,18-24,Более 80%,Ева МЛК,До 100MB,Жен,Более 15 дней,Более 80%,55+,Более 50 тыс. руб,Прочее,Прочее,B2B пакеты Lego,Поволжский филиал,TABLET,До 40 руб,1-5 часов
Менее 20%,98..99.5%,Средний,Персональные,b. <80%,2023-05-09,Прочее,14.0,Есть,Низкий,Более 366 дней,Прочее,-0.4702189722653834,55+,До 80%,Ева+,До 100MB,Не определен,До 15 дней,Менее 80%,18-24,25-50 тыс. руб.,<2 Mbps,Прочее,Включайся! - Линейка 3.3 - Прочие ТП,Сибирский филиал,NETWORK DEVICE,До 40 руб,Риск простоя
20...80%,>99.5%,Малый,Прочие,d. >90%,2023-01-25,iOS,4.0,Есть,Низкий,91-180 дней,Прочее,0.9294114825115409,25-34,Более 80%,Ева Volte,Нет,Муж,До 15 дней,Менее 80%,55+,До 10 тыс. руб.,>10 Mbps,>99.5%,Новая линейка ПД 2020,Центральный филиал,SMART WATCH,Более 40 руб,1-5 часов
Более 80%,<98%,Малый,Сэмплинг,c. 80-90%,2024-01-28,iOS,3.0,Есть,Средний,Прочее,Менее 5%,-0.0,55+,Не VoLTE,Ева Volte,Нет,Жен,Нет,Прочее,55+,25-50 тыс. руб.,2...5 Mbps,>99.5%,ВВ - Архивный (версия v.07.16),Уральский филиал,SMARTPHONE,Более 40 руб,Более 24 часов
20...80%,<98%,Малый,ПД,a. <100 MB,2024-12-01,Android,3.0,Есть,Высокий,181-366 дней,Прочее,0.07871107453742689,55+,Не VoLTE,Ева+,До 100MB,Жен,Нет,Более 80%,55+,До 10 тыс. руб.,<2 Mbps,>99.5%,Включайся! - Линейка 2.2,Столичный филиал,PHONE,До 40 руб,5-24 часа
20...80%,Прочее,Малый,Сэмплинг,c. 80-90%,2024-08-21,Android,11.0,Нет,Средний,До 30 дней,5...20%,0.06719556710018844,55+,До 80%,Ева МЛК,Более 1GB,Не определен,Нет,Прочее,45-54,Более 50 тыс. руб,Прочее,>99.5%,Тёплый приём - линейка 4.2,Уральский филиал,DATA CARD,До 40 руб,Нет простоя
Менее 20%,Прочее,Большой,ПД,d. >90%,2024-10-21,iOS,5.0,Есть,Низкий,До 30 дней,Более 20%,0.03925354856784193,55+,Более 80%,Ева Volte,Более 1GB,Муж,До 15 дней,Менее 80%,55+,25-50 тыс. руб.,5...10 Mbps,Прочее,Тёплый приём - линейка 4.2,Кавказский филиал,DATA CARD,Более 40 руб,Нет простоя
Более 80%,98..99.5%,Малый,СНГ,c. 80-90%,2024-02-13,iOS,16.0,Нет,Низкий,Более 366 дней,Прочее,0.23390316802518238,55+,Более 80%,Ева МЛК,100MB - 1GB,Муж,Нет,Прочее,55,Более 50 тыс. руб,<2 Mbps,<98%,PowerNET 2.0,Столичный филиал,NETWORK DEVICE,Более 40 руб,5-24 часа
20...80%,>99.5%,Большой,Внутрисетевые,b. <80%,2024-10-17,Прочее,19.0,Есть,Средний,Более 366 дней,Прочее,-0.01018876552212349,55+,Более 80%,Ева Volte,Более 1GB,Не определен,Более 15 дней,Менее 80%,55+,10-25 тыс. руб.,>10 Mbps,Прочее,Включайся! - Линейка 2 Огненный щит,Центральный филиал,UNDEFINED,До 40 руб,1-5 часов
Более 80%,98..99.5%,Малый,Все мобильные,d. >90%,2024-02-16,Android,9.0,Есть,Высокий,Более 366 дней,5...20%,0.8101416692529819,55+,Более 80%,Ева+,Более 1GB,Муж,Нет,Менее 80%,45-54,До 10 тыс. руб.,Прочее,Прочее,Управляй!+ 2.0,Дальневосточный филиал,UNDEFINED,До 40 руб,1-5 часов
20...80%,Прочее,Средний,Без переплат,b. <80%,2023-05-21,Прочее,11.0,Есть,Высокий,31-90 дней,Менее 5%,-0.2814691521721527,55+,До 80%,Ева МЛК,100MB - 1GB,Жен,Более 15 дней,Менее 80%,45-54,Более 50 тыс. руб,Прочее,Прочее,Тарифные планы FMC - Объединяй 5.0,Столичный филиал,PHONE,Более 40 руб,5-24 часа
20...80%,98..99.5%,Большой,Прочие,d. >90%,2024-10-14,Прочее,12.0,Нет,Низкий,Прочее,Прочее,0.08473997936355235,35-44,Не VoLTE,Ева МЛК,Нет,Не определен,Более 15 дней,Менее 80%,18-24,10-25 тыс. руб.,Прочее,<98%,Умные устройства,Уральский филиал,ROUTER,Более 40 руб,Более 24 часов
Прочее,98..99.5%,Средний,Агентский конвергент,b. <80%,2024-10-17,Android,8.0,Есть,Средний,Прочее,Прочее,-0.03331948959946056,25-34,Более 80%,Ева+,Более 1GB,Жен,Нет,Прочее,55+,Более 50 тыс. руб,2...5 Mbps,<98%,Включайся! - Линейка 3.4.3 - Прочие ТП,Кавказский филиал,UNDEFINED,До 40 руб,Нет простоя
20...80%,Прочее,Средний,Все мобильные,b. <80%,2024-05-10,iOS,14.0,Есть,Низкий,Более 366 дней,Более 20%,-0.05627395127093006,55+,Более 80%,Ева МЛК,Более 1GB,Не определен,До 15 дней,Менее 80%,35-44,Нет данных,<2 Mbps,98...99.5%,Без переплат - Линейка 1.1,Столичный филиал,DATA CARD,Более 40 руб,5-24 часа
Более 80%,>99.5%,Малый,Внутрисетевые,a. <100 MB,2023-06-05,Прочее,17.0,Нет,Высокий,До 30 дней,Менее 5%,-0.0832718387264597,25-34,Не VoLTE,Ева+,100MB - 1GB,Жен,До 15 дней,Прочее,25-34,Более 50 тыс. руб,Прочее,<98%,Тарифные планы FMC - Объединяй 4.0,Уральский филиал,ROUTER,Нет переплат,Нет простоя
20...80%,98..99.5%,Средний,Без переплат,a. <100 MB,2024-11-13,iOS,15.0,Нет,Высокий,Прочее,Более 20%,-0.3272661717356126,55+,Более 80%,Ева Volte,Более 1GB,Не определен,Нет,Менее 80%,55+,10-25 тыс. руб.,Прочее,>99.5%,B2B пакеты Lego,Центральный филиал,TABLET,Более 40 руб,Риск простоя
Более 80%,98..99.5%,Малый,Внутрисетевые,a. <100 MB,2023-12-02,Android,15.0,Есть,Низкий,Более 366 дней,Прочее,-0.0,18-24,Не VoLTE,Ева Volte,Более 1GB,Жен,До 15 дней,Более 80%,35-44,Более 50 тыс. руб,2...5 Mbps,Прочее,Агентская линейка 2021,Уральский филиал,USB MODEM,До 40 руб,1-5 часов
Прочее,<98%,Средний,Без переплат,a. <100 MB,2023-02-06,Прочее,12.0,Есть,Низкий,181-366 дней,Менее 5%,-0.36199173412172914,55+,Не VoLTE,Ева+,Более 1GB,Не определен,Более 15 дней,Менее 80%,55+,До 10 тыс. руб.,>10 Mbps,>99.5%,ВСР - Отмена,Поволжский филиал,PHONE,Нет переплат,5-24 часа
20...80%,<98%,Малый,Агентский конвергент,b. <80%,2024-02-20,Android,9.0,Нет,Средний,91-180 дней,5...20%,0.060773812849580625,45-54,До 80%,Ева МЛК,Нет,Жен,Нет,Прочее,45-54,25-50 тыс. руб.,Прочее,>99.5%,Тарифные планы FMC - Объединяй 6.1,Уральский филиал,SMART WATCH,Более 40 руб,Более 24 часов
Менее 20%,Прочее,Малый,Прочие,c. 80-90%,2023-03-24,iOS,12.0,Нет,Средний,181-366 дней,Более 20%,0.5590248040247899,55+,Более 80%,Ева+,До 100MB,Жен,Более 15 дней,Менее 80%,55+,10-25 тыс. руб.,Прочее,Прочее,Без переплат - Линейка 2.3,Кавказский филиал,UNDEFINED,Нет переплат,1-5 часов
Менее 20%,98..99.5%,Большой,Прочие,b. <80%,2024-10-25,Прочее,19.0,Есть,Низкий,31-90 дней,Менее 5%,-0.18022504879597864,55+,До 80%,Ева+,До 100MB,Не определен,Нет,Менее 80%,45-54,До 10 тыс. руб.,5...10 Mbps,Прочее,PowerNET 2.0,Кавказский филиал,TABLET,Более 40 руб,5-24 часа
Более 80%,>99.5%,Средний,Без переплат,b. <80%,2023-09-16,Прочее,12.0,Нет,Высокий,Более 366 дней,Прочее,0.0,45-54,Не VoLTE,Ева МЛК,100MB - 1GB,Не определен,Более 15 дней,Менее 80%,18-24,Более 50 тыс. руб,5...10 Mbps,<98%,ВВ - 05.17 (XS/L/XL/VIP),Центральный филиал,LAPTOP,До 40 руб,5-24 часа
Прочее,98..99.5%,Малый,Без переплат,a. <100 MB,2023-02-06,Android,11.0,Есть,Низкий,Более 366 дней,Более 20%,0.026582869029624104,55+,До 80%,Ева МЛК,Более 1GB,Не определен,Более 15 дней,Менее 80%,25-34,Более 50 тыс. руб,<2 Mbps,<98%,Линейка продуктов для агентского канала,Кавказский филиал,SMARTPHONE,Более 40 руб,Более 24 часов
Менее 20%,<98%,Малый,Все включено,b. <80%,2023-11-22,Android,6.0,Есть,Высокий,Прочее,5...20%,-0.24659839151276955,55+,Более 80%,Ева+,100MB - 1GB,Муж,До 15 дней,Более 80%,55+,Более 50 тыс. руб,>10 Mbps,98...99.5%,Тёплый приём - линейка 7.2,Поволжский филиал,USB MODEM,Более 40 руб,Риск простоя
Менее 20%,<98%,Средний,Сэмплинг,d. >90%,2024-08-22,Android,8.0,Нет,Низкий,181-366 дней,Прочее,0.0,55+,Не VoLTE,Ева+,Нет,Жен,Нет,Менее 80%,55,Более 50 тыс. руб,>10 Mbps,98...99.5%,CVM,Центральный филиал,PHONE,До 40 руб,Более 24 часов
Менее 20%,98..99.5%,Большой,Агентский конвергент,c. 80-90%,2024-05-24,Прочее,11.0,Нет,Средний,Более 366 дней,5...20%,-0.0,35-44,Более 80%,Ева МЛК,Нет,Муж,Более 15 дней,Более 80%,55+,Более 50 тыс. руб,Прочее,>99.5%,CVM: Персональный 3.0,Столичный филиал,DATA CARD,Более 40 руб,1-5 часов
Более 80%,<98%,Большой,Включайся!,b. <80%,2023-07-30,Прочее,3.0,Нет,Средний,Прочее,Прочее,-1.0,35-44,До 80%,Ева Volte,100MB - 1GB,Муж,До 15 дней,Менее 80%,25-34,До 10 тыс. руб.,2...5 Mbps,98...99.5%,Тёплый приём - линейка 5.1,Центральный филиал,NETWORK DEVICE,Более 40 руб,1-5 часов
Прочее,<98%,Большой,Агентский конвергент,c. 80-90%,2024-07-27,Android,16.0,Есть,Низкий,181-366 дней,Более 20%,-0.24111706292823043,35-44,Не VoLTE,Ева МЛК,Более 1GB,Жен,Более 15 дней,Более 80%,55+,Нет данных,5...10 Mbps,>99.5%,CVM - 28 дней,Уральский филиал,PHONE,Более 40 руб,Риск простоя
20...80%,>99.5%,Большой,Без переплат,a. <100 MB,2024-07-21,iOS,6.0,Нет,Высокий,31-90 дней,5...20%,0.30082867623598675,35-44,Не VoLTE,Ева Volte,Нет,nan,Более 15 дней,Более 80%,45-54,10-25 тыс. руб.,2...5 Mbps,Прочее,Для ТП Первый семейный,Уральский филиал,SMARTPHONE,До 40 руб,5-24 часа
Менее 20%,<98%,Средний,Прочие,c. 80-90%,2024-10-05,Android,9.0,Есть,Высокий,Прочее,5...20%,0.04029564616744927,55+,Не VoLTE,Ева МЛК,До 100MB,Муж,Более 15 дней,Более 80%,55+,25-50 тыс. руб.,5...10 Mbps,>99.5%,Тёплый приём - линейка 4.1,Дальневосточный филиал,DATA CARD,До 40 руб,Более 24 часов
Прочее,>99.5%,Большой,Внутрисетевые,d. >90%,2024-06-24,Android,9.0,Есть,Средний,До 30 дней,5...20%,-1.0,55+,Более 80%,Ева Volte,До 100MB,Муж,Более 15 дней,Прочее,45-54,Нет данных,2...5 Mbps,Прочее,Включайся! - Линейка 3.3 - Выбирай,Дальневосточный филиал,DATA CARD,До 40 руб,Риск простоя
Прочее,<98%,Большой,Прочие,c. 80-90%,2024-06-09,Прочее,6.0,Есть,Средний,91-180 дней,Более 20%,0.06709617696576355,55+,Более 80%,Ева+,100MB - 1GB,Муж,Нет,Прочее,25-34,До 10 тыс. руб.,2...5 Mbps,98...99.5%,Без переплат - Линейка 2.3,Дальневосточный филиал,SMARTPHONE,Более 40 руб,Риск простоя
Прочее,98..99.5%,Малый,Сэмплинг,b. <80%,2024-02-16,Прочее,5.0,Есть,Высокий,Более 366 дней,Менее 5%,0.01953682778899721,55+,Более 80%,Ева+,До 100MB,Не определен,До 15 дней,Более 80%,55+,Нет данных,Прочее,Прочее,Включайся! - Линейка 3.4.2 - Прочие ТП,Дальневосточный филиал,PHONE,До 40 руб,Более 24 часов
20...80%,Прочее,Большой,Без переплат,b. <80%,2024-03-05,iOS,1.0,Нет,Средний,31-90 дней,Прочее,-0.18887061831557012,35-44,До 80%,Ева+,100MB - 1GB,Жен,Более 15 дней,Более 80%,45-54,Нет данных,>10 Mbps,>99.5%,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Центральный филиал,NETWORK DEVICE,Более 40 руб,Более 24 часов
Прочее,<98%,Средний,Персональные,c. 80-90%,2024-05-12,Android,3.0,Нет,Высокий,181-366 дней,5...20%,0.29349900668167517,55+,До 80%,Ева Volte,Более 1GB,Жен,Более 15 дней,Прочее,55+,25-50 тыс. руб.,5...10 Mbps,Прочее,PowerNET 2.0,Кавказский филиал,PHONE,Нет переплат,Риск простоя
Менее 20%,Прочее,Большой,Включайся!,c. 80-90%,2024-03-18,Прочее,3.0,Нет,Средний,31-90 дней,5...20%,-1.0,55+,До 80%,Ева Volte,Более 1GB,Не определен,Нет,Более 80%,25-34,Более 50 тыс. руб,Прочее,<98%,Тёплый приём - линейка 3.1,Уральский филиал,ROUTER,Более 40 руб,Нет простоя
20...80%,<98%,Средний,Все мобильные,b. <80%,2024-08-18,Android,12.0,Есть,Низкий,До 30 дней,Более 20%,-0.0,45-54,Не VoLTE,Ева+,100MB - 1GB,Муж,До 15 дней,Более 80%,45-54,25-50 тыс. руб.,2...5 Mbps,<98%,PAYGO линейка 2018,Столичный филиал,ROUTER,Более 40 руб,5-24 часа
Прочее,<98%,Большой,Сэмплинг,c. 80-90%,2023-12-10,iOS,4.0,Нет,Высокий,Более 366 дней,Менее 5%,-0.2250767737628645,55+,До 80%,Ева Volte,До 100MB,Жен,До 15 дней,Менее 80%,55+,Более 50 тыс. руб,Прочее,Прочее,Тёплый приём - линейка 5.0,Центральный филиал,DATA CARD,До 40 руб,Риск простоя
Прочее,<98%,Большой,Прочие,c. 80-90%,2024-01-30,Прочее,16.0,Есть,Высокий,181-366 дней,5...20%,0.8102817084813474,55+,До 80%,Ева МЛК,100MB - 1GB,Муж,Нет,Прочее,55+,10-25 тыс. руб.,>10 Mbps,>99.5%,LEGO_Включайся!;Тёплый приём Lego,Дальневосточный филиал,SMART WATCH,До 40 руб,Нет простоя
Прочее,Прочее,nan,Внутрисетевые,d. >90%,2023-02-01,Android,11.0,Есть,Средний,31-90 дней,Более 20%,0.45894721580283976,55+,До 80%,Ева МЛК,Более 1GB,Муж,Нет,Прочее,25-34,25-50 тыс. руб.,5...10 Mbps,>99.5%,Управляй! 3.0,Сибирский филиал,DATA CARD,Более 40 руб,Более 24 часов
20...80%,<98%,Средний,Все мобильные,d. >90%,2023-07-30,Прочее,8.0,Нет,Средний,181-366 дней,Менее 5%,-0.0546290325403864,18-24,Более 80%,Ева+,Нет,Муж,До 15 дней,Менее 80%,55+,До 10 тыс. руб.,5...10 Mbps,98...99.5%,Включайся! - Линейка 3.4 - Прочие ТП,Кавказский филиал,ROUTER,Нет переплат,Риск простоя
20...80%,>99.5%,Средний,Персональные,a. <100 MB,2024-08-20,Прочее,9.0,Есть,Низкий,Более 366 дней,5...20%,-0.04172323827225928,35-44,До 80%,Ева+,Нет,Жен,До 15 дней,Прочее,55+,10-25 тыс. руб.,>10 Mbps,98...99.5%,Без переплат - Линейка 1.2,Поволжский филиал,UNDEFINED,Более 40 руб,Более 24 часов
Более 80%,Прочее,Большой,Сэмплинг,c. 80-90%,2024-10-10,Прочее,14.0,Есть,Высокий,Более 366 дней,Прочее,-0.0,55+,Более 80%,Ева Volte,Нет,Жен,Более 15 дней,Прочее,55+,10-25 тыс. руб.,<2 Mbps,>99.5%,Мегафон – Линейка 4.0,Северо-Западный филиал,LAPTOP,Более 40 руб,1-5 часов
20...80%,98..99.5%,Средний,Сэмплинг,d. >90%,2023-08-20,Android,15.0,Есть,Средний,181-366 дней,Более 20%,0.6686528026581565,25-34,До 80%,Ева+,Нет,Муж,Более 15 дней,Более 80%,18-24,Нет данных,Прочее,Прочее,Тёплый приём - линейка 7.0,Северо-Западный филиал,SMARTPHONE,Нет переплат,Нет простоя
Менее 20%,98..99.5%,Средний,ПД,b. <80%,2024-03-26,Прочее,19.0,Нет,Средний,31-90 дней,5...20%,-0.0,25-34,До 80%,Ева МЛК,100MB - 1GB,Муж,Нет,Прочее,55+,10-25 тыс. руб.,5...10 Mbps,>99.5%,Новая линейка ПД 2020,Кавказский филиал,DATA CARD,Более 40 руб,Риск простоя
Менее 20%,Прочее,Большой,Прочие,b. <80%,2024-12-20,Прочее,9.0,Нет,Высокий,91-180 дней,5...20%,0.5479336703109225,35-44,Более 80%,Ева Volte,100MB - 1GB,Муж,Нет,Прочее,55+,10-25 тыс. руб.,>10 Mbps,Прочее,Тарифные планы FMC - Непубличные Объединяй!,Центральный филиал,DATA CARD,До 40 руб,Риск простоя
20...80%,<98%,Средний,Сэмплинг,d. >90%,2023-06-03,iOS,17.0,Есть,Низкий,31-90 дней,Прочее,-0.5548873547403816,55+,Более 80%,Ева МЛК,До 100MB,Муж,Более 15 дней,Прочее,45-54,Нет данных,5...10 Mbps,>99.5%,Тарифные планы FMC - Объединяй 5.0,Северо-Западный филиал,PHONE,Более 40 руб,Более 24 часов
Менее 20%,Прочее,Большой,Агентский конвергент,d. >90%,2024-12-03,iOS,9.0,Нет,Низкий,Более 366 дней,5...20%,-0.0,55+,Не VoLTE,Ева+,Нет,Муж,Нет,Прочее,55+,Нет данных,2...5 Mbps,98...99.5%,Включайся! - Линейка 3.3 - Выбирай,Поволжский филиал,SMARTPHONE,До 40 руб,Нет простоя
20...80%,<98%,Средний,Без переплат,a. <100 MB,2024-10-01,Прочее,3.0,Есть,Высокий,Более 366 дней,Более 20%,0.05650175516141291,55+,Более 80%,Ева МЛК,Нет,Муж,Нет,Менее 80%,55+,25-50 тыс. руб.,2...5 Mbps,<98%,Включайся! - Линейка 2.1,Северо-Западный филиал,LAPTOP,Нет переплат,Риск простоя
20...80%,98..99.5%,Малый,Персональные,c. 80-90%,2024-09-18,Прочее,16.0,Есть,Средний,Прочее,Прочее,0.49196528818602797,55+,Не VoLTE,Ева МЛК,100MB - 1GB,nan,Нет,Прочее,25-34,До 10 тыс. руб.,>10 Mbps,Прочее,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Столичный филиал,SMART WATCH,Более 40 руб,Нет простоя
20...80%,<98%,Большой,Персональные,c. 80-90%,2023-02-19,Android,13.0,Нет,Высокий,Более 366 дней,Прочее,0.6486982484045882,55+,Не VoLTE,Ева+,Более 1GB,Жен,Более 15 дней,Прочее,55+,До 10 тыс. руб.,<2 Mbps,<98%,FWA Мобильный конвергент: Объединяй! Мобильный,Дальневосточный филиал,DATA CARD,Нет переплат,Более 24 часов
Менее 20%,<98%,Средний,Прочие,c. 80-90%,2023-04-08,Android,17.0,Есть,Низкий,31-90 дней,5...20%,0.2224746606725962,55+,Более 80%,Ева МЛК,Нет,Не определен,До 15 дней,Менее 80%,55,25-50 тыс. руб.,Прочее,Прочее,Включайся! - Линейка 3.4.2 - Прочие ТП,Уральский филиал,SMART WATCH,До 40 руб,Нет простоя
Менее 20%,98..99.5%,Средний,Сэмплинг,d. >90%,2024-06-18,Android,4.0,Нет,Высокий,181-366 дней,Менее 5%,-0.0,45-54,Не VoLTE,Ева+,Нет,Не определен,Более 15 дней,Прочее,35-44,До 10 тыс. руб.,<2 Mbps,<98%,Умные вещи,Столичный филиал,ROUTER,Более 40 руб,Более 24 часов
Прочее,Прочее,Большой,СНГ,d. >90%,2023-08-03,Android,9.0,Есть,Высокий,91-180 дней,5...20%,1.0,55+,Не VoLTE,Ева+,Нет,Не определен,Нет,Менее 80%,55+,25-50 тыс. руб.,<2 Mbps,<98%,Без переплат - Линейка 2.0,Поволжский филиал,USB MODEM,До 40 руб,Риск простоя
Менее 20%,Прочее,Малый,ПД,c. 80-90%,2023-12-12,iOS,9.0,Есть,Низкий,91-180 дней,Более 20%,0.19817734441216125,18-24,Не VoLTE,Ева+,Более 1GB,Не определен,Более 15 дней,Менее 80%,55+,Более 50 тыс. руб,5...10 Mbps,98...99.5%,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Поволжский филиал,PHONE,Нет переплат,Нет простоя
Прочее,>99.5%,Большой,Внутрисетевые,c. 80-90%,2024-09-05,iOS,18.0,Есть,Средний,31-90 дней,5...20%,0.281448909419264,18-24,До 80%,Ева+,Более 1GB,Жен,Более 15 дней,Более 80%,25-34,10-25 тыс. руб.,5...10 Mbps,Прочее,ТП Посекундный 2021,Дальневосточный филиал,USB MODEM,Более 40 руб,1-5 часов
20...80%,>99.5%,Средний,Персональные,c. 80-90%,2024-06-06,iOS,14.0,Нет,Средний,Более 366 дней,Более 20%,-0.0,35-44,Не VoLTE,Ева+,До 100MB,Жен,Более 15 дней,Более 80%,45-54,Более 50 тыс. руб,2...5 Mbps,<98%,Переходи на НОЛЬ,Столичный филиал,UNDEFINED,До 40 руб,5-24 часа
Прочее,98..99.5%,Средний,ПД,c. 80-90%,2024-06-08,Прочее,3.0,Нет,Низкий,До 30 дней,Менее 5%,-0.0,35-44,Не VoLTE,Ева МЛК,100MB - 1GB,Не определен,Более 15 дней,Менее 80%,55+,Более 50 тыс. руб,5...10 Mbps,98...99.5%,CVM - 28 дней,Поволжский филиал,TABLET,Нет переплат,5-24 часа
20...80%,<98%,Большой,Включайся!,b. <80%,2023-10-25,iOS,4.0,Есть,Низкий,181-366 дней,Менее 5%,0.19659323422371525,55+,До 80%,Ева МЛК,До 100MB,Муж,Нет,Менее 80%,55+,Нет данных,5...10 Mbps,98...99.5%,Новая линейка ПД 2020,Северо-Западный филиал,USB MODEM,До 40 руб,5-24 часа
20...80%,<98%,Средний,Внутрисетевые,b. <80%,2023-08-21,Прочее,1.0,Есть,Средний,До 30 дней,Прочее,0.017610002662016903,55+,Не VoLTE,Ева+,100MB - 1GB,Муж,Более 15 дней,Прочее,55+,10-25 тыс. руб.,<2 Mbps,<98%,LEGO_Включайся!;Тёплый приём Lego,Столичный филиал,ROUTER,До 40 руб,Риск простоя
20...80%,Прочее,Малый,Внутрисетевые,c. 80-90%,2023-07-09,Прочее,18.0,Есть,Средний,181-366 дней,5...20%,0.36533681794919626,45-54,Более 80%,Ева МЛК,Нет,Муж,Более 15 дней,Менее 80%,25-34,Нет данных,>10 Mbps,>99.5%,Тёплый приём - линейка 4.2,Северо-Западный филиал,DATA CARD,До 40 руб,1-5 часов
Более 80%,98..99.5%,Малый,Все включено,a. <100 MB,2023-05-06,Прочее,4.0,Есть,Низкий,91-180 дней,Более 20%,-0.03243357005053631,55+,Более 80%,Ева Volte,Более 1GB,Не определен,До 15 дней,Прочее,25-34,10-25 тыс. руб.,>10 Mbps,>99.5%,Тарифные планы FMC - Объединяй 6.2,Центральный филиал,USB MODEM,До 40 руб,Нет простоя
Прочее,<98%,Средний,Персональные,c. 80-90%,2023-04-23,iOS,10.0,Нет,Высокий,Более 366 дней,5...20%,-0.3910460531799774,55+,До 80%,Ева Volte,Нет,Жен,До 15 дней,Прочее,55+,25-50 тыс. руб.,5...10 Mbps,98...99.5%,Включайся! - Линейка 3.2 - Часть II,Столичный филиал,DATA CARD,Нет переплат,1-5 часов
Менее 20%,>99.5%,Средний,Прочие,a. <100 MB,2023-04-15,iOS,4.0,Есть,Низкий,До 30 дней,Прочее,-0.31241173829534175,55+,До 80%,Ева МЛК,Более 1GB,Не определен,Нет,Прочее,55+,Нет данных,<2 Mbps,<98%,Агентская линейка 2022,Кавказский филиал,UNDEFINED,Более 40 руб,Риск простоя
20...80%,>99.5%,Малый,Прочие,d. >90%,2024-03-27,iOS,17.0,Нет,Низкий,91-180 дней,Менее 5%,1.0,18-24,Не VoLTE,Ева МЛК,Нет,Жен,Нет,Прочее,45-54,Более 50 тыс. руб,5...10 Mbps,>99.5%,Переходи на НОЛЬ 2020,Центральный филиал,LAPTOP,До 40 руб,Нет простоя
Прочее,<98%,Средний,СНГ,c. 80-90%,2024-01-01,Android,8.0,Нет,Средний,181-366 дней,Более 20%,-1.0,45-54,Не VoLTE,Ева Volte,100MB - 1GB,Жен,Более 15 дней,Менее 80%,55+,До 10 тыс. руб.,<2 Mbps,>99.5%,PAYGO линейка 2018,Северо-Западный филиал,ROUTER,Более 40 руб,5-24 часа
20...80%,>99.5%,Малый,Все включено,b. <80%,2024-02-23,iOS,19.0,Нет,Высокий,До 30 дней,5...20%,0.0023708090065217603,55+,До 80%,Ева Volte,До 100MB,Жен,До 15 дней,Прочее,55,25-50 тыс. руб.,Прочее,>99.5%,Тёплый приём - линейка 6.0,Северо-Западный филиал,UNDEFINED,До 40 руб,Нет простоя
20...80%,>99.5%,Средний,Персональные,b. <80%,2024-06-02,iOS,9.0,Нет,Высокий,Прочее,Менее 5%,-0.8439589081094414,55+,Не VoLTE,Ева Volte,Более 1GB,Жен,Нет,Прочее,55+,Нет данных,Прочее,>99.5%,Включайся! - Линейка 2.1,Кавказский филиал,TABLET,До 40 руб,5-24 часа
Более 80%,<98%,Большой,Включайся!,d. >90%,2024-08-27,Android,16.0,Есть,Средний,Более 366 дней,Прочее,-0.0,55+,Более 80%,Ева+,До 100MB,Не определен,До 15 дней,Более 80%,55+,Более 50 тыс. руб,5...10 Mbps,<98%,Без переплат - Линейка 1.1,Дальневосточный филиал,LAPTOP,Нет переплат,Риск простоя
Прочее,>99.5%,Средний,Прочие,d. >90%,2024-11-10,iOS,15.0,Есть,Низкий,Прочее,Менее 5%,0.2512277054625845,18-24,До 80%,Ева+,100MB - 1GB,Жен,До 15 дней,Более 80%,55+,10-25 тыс. руб.,Прочее,Прочее,Тёплый приём - линейка 5.1,Северо-Западный филиал,USB MODEM,До 40 руб,1-5 часов
20...80%,Прочее,Средний,Сэмплинг,a. <100 MB,2023-06-23,Прочее,16.0,Нет,Низкий,Прочее,Менее 5%,0.7563553135892679,55+,Более 80%,Ева МЛК,100MB - 1GB,Жен,Нет,Более 80%,25-34,Более 50 тыс. руб,5...10 Mbps,>99.5%,Включайся! - Линейка 3.4.2 - Прочие ТП,Центральный филиал,UNDEFINED,Более 40 руб,Нет простоя
